PUMFID,CERTLEVP,REG_INST,REG_RESP,PGMCIPAP,PGM_P034,PGM_P036,PGM_P100,PGM_P111,PGM_280A,PGM_280B,PGM_280C,PGM_280D,PGM_280E,PGM_280F,PGM_290,PGM_350,PGM_380,PGM_P401,PGM_410,PGM_415,PGM_430,COV_010,COV_070,COV_080,EDU_010,EDU_P020,HLOSINTP,STL_010,STL_020,STULOANS,STL_030,OWESLGD,OWEGVIN,STL_080,STL_100A,STL_100B,STL_100C,STL_100D,STL_130,STL_150,STL_160B,STL_160C,STL_160D,STL_160E,STL_160F,STL_160G,STL_160H,STL_160I,STL_160J,STL_160L,STLP160N,SRCFUND,STL_170A,STL_170B,STL_170C,STL_170D,STL_170E,STL_170F,STL_170G,STL_170H,STL_170I,STL_170J,STL_170L,STLP170N,RESPP,STL_190,DBTOTGRD,DBTALGRD,DBTOTINT,DBTALINT,SCHOLARP,LMA_010,LFSTATP,LMA2_07,LMA3_P01,LFCINDP,LFCOCCP,LFWFTPTP,LMA6_05,LMA6_08,JOBQLEVP,JOBQLGRD,JOBQLINT,LMA6_11,LMA6_12,LMA6_13A,LMA6_13B,LMA6_13C,JOBINCP,LMA6_15,AFT_P010,AFT_P020,AFT_P040,AFT_050,AFT_070,AFT_080,AFT_090,BEF_P140,BEF_160,PREVLEVP,HLOSGRDP,PAR1GRD,PAR1INT,PAR2GRD,PAR2INT,GRADAGEP,GENDER2,MS_P01,MS_P02,CTZSHIPP,VISBMINP,PERSINCP,DDIS_FL
67322,3,4,4,9,1,6,2,6,2,2,2,2,2,1,1,2,2,1,2,2,1,2,4,1,2,6,3,2,6,2,2,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,1,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,9,9,6,9,9,6,6,96,96,6,6,96,6,9,6,6,6,6,6,6,96,6,9,6,6,6,6,6,6,9,99,9,9,9,9,9,9,2,2,9,9,9,9,99,2
67323,2,1,9,9,1,6,2,6,2,2,2,2,2,1,1,1,2,2,3,3,1,2,3,1,1,2,2,1,1,1,96,3,4,1,6,6,6,1,4,2,2,2,2,2,1,2,1,2,1,2,2,3,1,6,6,6,6,2,6,1,6,2,6,6,6,2,6,3,6,4,6,2,2,6,6,96,96,6,6,96,6,6,6,6,6,6,6,6,96,6,1,1,1,2,2,2,3,3,2,6,2,3,3,1,1,9,1,2,2,2,1,1,2
67324,1,2,2,5,1,6,1,2,2,2,2,2,2,1,1,2,2,1,3,1,1,1,1,1,2,6,1,2,6,2,2,6,6,6,6,6,6,6,6,6,2,2,2,1,2,2,2,1,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,1,2,1,2,1,2,2,1,1,2,1,2,2,1,2,2,4,3,2,1,6,6,6,6,6,6,6,1,6,1,1,3,3,1,1,3,1,2,2,1,2,3,1
67325,1,3,3,10,1,6,2,6,2,2,2,2,2,1,1,1,2,2,3,1,2,2,4,1,2,6,1,1,1,1,96,3,0,2,6,6,6,1,6,2,2,2,2,2,1,2,2,2,1,2,2,3,1,6,6,6,6,1,6,6,6,2,6,6,6,6,6,3,6,0,6,2,1,1,2,6,7,2,6,96,6,6,6,3,6,6,6,6,96,6,2,4,1,2,2,3,2,4,6,6,1,2,2,1,1,2,2,1,1,1,2,99,1
67328,1,1,1,5,1,6,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,4,2,2,6,1,2,6,2,1,6,6,6,6,6,6,6,6,6,2,2,2,2,1,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,1,2,1,1,10,1,1,2,0,1,1,1,2,2,2,2,2,1,6,6,6,6,6,6,6,1,6,9,1,1,1,1,1,2,1,2,2,1,2,99,1
67329,2,3,3,5,1,6,2,6,2,2,2,2,2,1,1,2,2,2,2,3,2,2,1,1,2,6,2,2,6,2,1,6,6,6,6,6,6,6,6,6,2,2,2,1,1,2,1,2,2,2,2,3,2,6,6,6,2,1,6,1,6,6,6,6,6,9,9,9,9,9,1,2,1,2,1,6,2,1,1,7,2,2,2,1,2,4,4,3,3,1,6,6,6,6,6,6,6,3,1,6,2,1,1,1,1,1,2,2,2,3,1,3,2
67331,3,3,3,7,1,6,2,6,2,2,2,2,2,1,1,1,2,1,1,3,2,2,1,1,2,6,3,1,1,1,96,2,1,2,6,6,6,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,1,1,2,1,2,1,4,3,1,1,1,3,1,1,1,1,4,4,2,4,1,6,6,6,6,6,6,6,1,6,2,3,1,1,1,1,2,2,2,2,1,1,4,1
67332,1,4,4,8,1,6,2,6,2,2,2,2,2,1,2,2,2,1,1,1,2,2,1,1,2,6,1,2,6,2,1,6,6,6,6,6,6,6,6,6,1,2,2,2,1,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,2,2,6,6,96,96,6,6,96,6,6,6,6,6,6,6,6,96,6,1,3,1,1,2,2,3,3,2,6,1,9,9,9,9,1,1,2,2,1,2,1,1
67335,3,3,3,6,1,6,2,6,2,2,2,2,2,1,1,1,2,1,4,2,1,6,1,1,2,6,3,2,6,2,1,6,6,6,6,6,6,6,6,6,2,2,2,1,1,1,2,2,2,2,2,3,2,6,6,6,1,2,1,6,6,6,6,6,6,6,6,6,6,6,4,2,1,2,1,5,5,1,1,2,3,1,1,1,1,1,4,1,4,1,6,6,6,6,6,6,6,3,1,3,3,1,1,1,1,3,1,1,1,1,2,4,2
67338,2,4,4,9,1,6,1,2,2,1,2,2,2,2,1,1,2,1,1,2,1,1,1,2,2,6,2,1,1,1,96,1,0,2,6,6,6,1,6,2,1,2,2,1,2,2,2,2,2,2,2,3,2,1,6,6,1,6,6,6,6,6,6,6,4,6,6,1,6,0,2,2,1,2,1,7,4,1,1,2,2,2,2,1,2,2,2,2,5,1,6,6,6,6,6,6,6,3,4,6,2,1,1,1,1,1,2,1,2,1,2,5,1
67339,1,1,1,10,2,4,2,6,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,1,2,1,2,2,96,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,1,1,2,2,1,3,6,6,6,6,6,6,6,2,1,6,6,1,6,1,1,1,9,9,6,1,3,6,6,96,96,6,6,96,6,6,6,6,6,6,6,6,96,6,0,6,6,6,6,6,6,4,3,6,1,3,2,1,1,2,2,1,1,1,2,1,1
67340,3,2,2,5,2,1,2,6,2,2,2,2,2,1,1,1,2,1,1,3,1,2,1,2,2,6,3,2,6,2,2,6,6,6,6,6,6,6,6,6,2,2,2,2,1,2,2,1,2,1,2,3,2,6,6,6,6,1,6,6,2,6,1,6,6,6,2,2,2,2,6,2,1,2,1,1,10,1,1,2,3,1,1,1,2,1,1,2,5,2,1,2,1,1,1,6,1,1,5,2,3,2,2,2,2,2,2,1,2,1,2,5,2
67341,1,4,4,8,1,6,2,6,2,2,2,2,2,1,1,2,2,1,3,1,2,6,4,1,2,6,1,2,6,2,1,6,6,6,6,6,6,6,6,6,1,2,2,2,2,2,1,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,4,2,6,6,6,6,6,1,1,2,1,2,10,1,1,5,0,1,1,1,2,2,2,1,3,2,3,2,1,1,1,6,3,1,5,6,1,1,1,1,1,1,1,1,2,1,2,3,2
67342,1,4,3,4,1,6,2,6,2,2,2,2,2,1,1,2,2,1,2,3,1,1,3,1,2,6,1,2,6,2,5,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,1,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,2,1,2,1,6,7,1,1,6,0,1,1,3,1,3,3,2,2,2,2,1,1,1,1,6,3,1,6,6,1,2,2,1,1,1,2,2,2,2,1,1,2
67345,1,1,1,2,1,6,2,6,2,2,2,2,2,1,1,1,2,1,9,2,1,2,4,1,2,6,1,1,1,1,96,3,3,2,1,2,2,6,5,2,2,1,2,2,1,2,2,2,2,2,2,3,1,6,2,6,6,1,6,6,6,6,6,6,6,6,6,3,6,3,6,2,2,6,6,96,96,6,6,96,6,6,6,6,6,6,6,6,96,6,4,1,1,2,2,3,3,1,6,1,1,1,1,1,1,1,1,1,2,1,2,1,1
67346,3,3,3,5,1,6,1,2,2,2,2,2,2,1,1,1,2,1,3,3,1,2,1,1,2,6,3,1,1,1,96,4,0,2,6,6,6,1,6,1,2,1,1,1,1,2,2,1,1,2,2,3,1,6,2,2,2,2,6,6,1,2,6,6,6,6,4,4,3,3,2,2,1,2,1,5,5,1,1,2,3,2,2,1,2,2,2,1,4,2,3,2,1,1,2,2,3,3,6,6,3,1,1,1,1,4,2,2,2,1,2,3,1
67348,3,3,3,5,1,6,2,6,2,2,2,2,2,1,2,2,2,1,1,2,1,2,1,2,2,6,3,1,1,1,96,4,0,2,6,6,6,1,6,2,1,2,2,1,1,2,1,2,2,2,2,3,2,2,6,6,1,1,6,2,6,6,6,6,3,2,6,4,6,0,3,2,1,2,1,3,2,1,1,4,3,2,2,1,2,2,2,2,5,2,1,2,1,1,1,6,1,3,3,2,3,1,1,1,1,1,2,2,2,2,1,5,2
67349,1,2,2,5,1,6,1,2,2,2,2,2,2,1,1,2,2,1,3,3,1,1,1,2,2,6,1,1,1,1,96,1,0,2,6,6,6,1,6,2,2,2,2,2,2,2,2,2,2,1,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,0,6,2,1,2,1,1,3,1,1,2,1,2,2,1,2,1,1,1,3,2,3,1,1,1,1,6,1,1,6,6,1,9,9,9,9,3,2,1,1,1,2,2,2
67353,1,1,1,9,1,6,1,2,2,2,2,2,2,1,2,1,2,1,2,3,1,2,1,1,2,6,1,2,6,2,4,6,6,6,6,6,6,6,6,6,2,2,2,2,1,2,1,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,2,1,2,1,7,4,1,1,4,1,2,2,1,2,3,5,2,5,2,4,1,1,2,2,2,2,3,6,6,1,1,1,1,1,1,1,2,2,1,2,1,1
67355,3,4,4,9,1,6,2,6,2,2,2,2,2,1,1,1,2,1,4,3,2,1,4,1,2,6,3,2,6,2,2,6,6,6,6,6,6,6,6,6,2,2,2,1,1,1,1,1,1,1,2,3,2,6,6,6,2,1,2,2,1,2,2,6,6,2,3,3,0,0,3,2,1,2,1,7,2,1,1,1,2,1,1,3,1,3,4,2,3,2,2,1,1,1,2,2,1,3,6,2,3,1,1,1,1,2,2,1,2,1,2,4,1
67356,3,3,3,9,1,6,1,1,2,2,2,2,2,1,1,1,2,1,8,1,1,1,4,1,2,6,3,1,1,1,96,4,4,2,6,6,6,1,2,2,1,2,2,2,2,2,1,2,2,2,2,3,1,1,6,6,6,6,6,2,6,6,6,6,4,2,6,4,6,4,6,2,1,2,1,1,3,1,2,1,3,2,2,2,1,2,1,2,5,2,1,1,1,1,1,6,1,1,3,6,3,1,1,1,1,1,2,2,2,1,1,4,2
67357,1,4,4,8,1,6,1,2,2,2,2,2,2,1,2,2,2,1,2,5,2,6,1,2,2,6,1,2,6,2,1,6,6,6,6,6,6,6,6,6,2,2,2,1,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,2,1,2,1,2,10,1,1,1,0,1,1,3,2,2,2,2,3,1,6,6,6,6,6,6,6,3,2,6,1,1,1,1,1,1,2,1,2,1,2,2,2
67358,1,2,2,1,1,6,1,3,2,1,2,2,2,2,1,2,2,2,2,3,1,2,1,2,1,9,1,2,6,2,5,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,1,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,2,1,7,5,1,1,1,1,2,2,1,2,1,3,3,2,1,6,6,6,6,6,6,6,1,6,6,1,2,2,1,1,4,2,1,1,2,1,5,2
67359,3,3,3,6,1,6,1,3,2,2,2,2,2,1,1,1,2,2,2,3,1,6,1,2,2,6,3,1,2,2,96,6,6,6,6,6,6,6,6,6,2,2,2,1,1,1,1,1,2,2,2,3,6,6,6,6,1,2,1,2,2,6,6,6,6,2,4,4,0,0,4,2,1,2,1,6,3,1,1,7,3,2,2,1,1,1,3,3,3,1,6,6,6,6,6,6,6,3,4,2,3,1,1,1,1,2,1,2,2,1,2,3,1
67361,2,1,1,9,1,6,1,2,2,2,2,2,2,1,1,2,2,2,2,3,1,2,1,2,2,6,2,1,1,1,96,3,1,1,6,6,6,1,1,2,1,1,1,1,1,2,1,2,2,2,2,3,1,1,2,2,2,2,6,2,6,6,6,6,9,2,6,3,6,1,9,2,1,2,1,7,4,1,1,6,2,2,2,1,2,2,3,1,5,1,6,6,6,6,6,6,6,3,1,6,2,1,1,1,1,1,2,1,2,1,2,5,2
67362,2,4,4,5,2,4,1,1,2,1,2,2,2,2,1,1,1,1,3,3,1,1,2,1,2,6,2,1,1,1,96,4,3,2,6,6,6,1,3,2,2,1,2,2,1,2,1,1,2,2,2,3,1,6,2,6,6,1,6,2,2,6,6,6,6,2,3,4,0,3,6,2,1,2,1,5,5,1,1,2,2,2,2,2,2,2,1,1,3,1,6,6,6,6,6,6,6,1,6,6,2,1,1,1,1,3,2,1,1,1,2,2,1
67363,2,1,4,1,1,6,1,2,2,2,2,2,2,1,1,2,2,1,3,3,1,2,1,2,2,6,2,1,1,1,96,0,0,6,6,6,6,6,6,2,2,2,2,2,1,2,1,2,2,2,2,3,1,6,6,6,6,2,6,1,6,6,6,6,6,2,6,0,6,0,6,2,1,2,1,5,5,1,1,1,2,2,2,1,2,1,1,2,4,1,6,6,6,6,6,6,6,1,6,2,2,1,1,1,1,2,1,1,2,1,2,4,2
67364,2,4,4,1,1,6,1,2,2,2,2,2,2,1,1,1,2,1,3,3,1,2,1,1,2,6,2,2,6,2,1,6,6,6,6,6,6,6,6,6,2,2,2,1,1,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,2,1,2,1,5,5,1,2,1,2,2,2,1,2,1,1,4,3,2,2,2,1,1,2,2,1,3,5,2,2,2,2,2,2,1,2,2,2,2,1,3,2
